Address,Avg Price Range,Avg Price USD for histogram,Award Remark,Award text,Country,Cuisine,Currency,Guide Text,Loc,Name,Stars,URL,Avg Price,AvgPriceUSD,AvgPrice USD,Exchange to USD,Lat,Lng,Max Price,MaxPrice USD,Min Price,MinPrice USD
"121 Sai Yee Street, Mong Kok, Hong Kong",0-100 USD,50,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Hong Kong,Cantonese,HKD,"The multinational group began life here in the 1970s with this, their original shop; it’s still as busy as ever and worth booking ahead. The restaurant is spread over two floors with the upper floor boasting a large live fish tank and views of the busy street below. The long and varied menu certainly represents good value. Tonic soups like double-boiled teal with cordyceps and fish maw are hugely popular and need pre-ordering.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.3202190,114.1713300&language=en-US",Lei Garden (Mong Kok),1,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/lei-garden-mong-kok,500,65,65,0.13,22.320219,114.17133,850,111,150,20
"Don Pavla Poše 1-6, Korčula, 20260, Croatia",0-100 USD,75,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Croatia,Mediterranean,HRK,"Situated on the road which runs around the picturesque historic centre, this restaurant offers an outdoor area for alfresco dining in fine weather – just a few metres from the water – with a romantic view of the sea, the islands and the peninsula. Superb Mediterranean cuisine with a focus on local products, especially olive oil and excellent fish (don’t miss the sea bass! ), as well as more exotic ingredients and creative touches which come as a pleasant surprise. More limited choice at lunchtime.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=42.9617461,17.1370191&language=en-US",LD Terrace,1,https://guide.michelin.com/en/dubrovnik-neretva/korcula/restaurant/ld-terrace,568,85,85,0.15,42.9617461,17.1370191,805,121,330,50
"10 Hollywood Road, Hong Kong",0-100 USD,50,Very comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Hong Kong,Thai,HKD,"The bright yellow walls and contemporary art may not say much about the historic police armoury building Aaharn occupies, but its name cannot be more revealing – it means “food” in Thai. The Australian chef David Thompson oversees the operation and his short but very sweet menu changes seasonally to feature the best ingredients from Thailand. Don’t miss their desserts, such as the Thai cupcakes – and on balmy nights ask for a table on the terrace.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.2816498,114.1538558&language=en-US",Aaharn,1,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/aaharn,499,65,65,0.13,22.2816498,114.1538558,800,104,198,26
"34 Wyndham Street, Central, Hong Kong",0-100 USD,50,Comfortable restaurant; one of our most delightful places.,"One MICHELIN Star: High quality cooking, worth a stop!",Hong Kong,Indian,HKD,"This tandoor grill restaurant serving cuisine from Northern India is named after a social club founded during the British era – the owner’s father is still a member. The décor is also reminiscent of that era with red leather banquettes and the owner’s art collection. Lamb tomahawk is the signature dish on the menu, along with samosa chaat (crushed samosa with yoghurt and crispy noodles) and paneer kulcha (an Indian cheese).","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.2800500,114.1552500&language=en-US",New Punjab Club,1,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/new-punjab-club,550,72,72,0.13,22.28005,114.15525,800,104,300,39
"101 Tianmu East Road, Shilin, Taipei, 110, Taiwan",0-100 USD,0,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Taiwan,Taiwanese,TWD,"In the 1960s, the family started serving heavily seasoned food to go with alcoholic drinks. The third-generation owner still follows the same family recipes from the old days. Their signature deep-fried pork ribs are made with local pork, fried twice to seal in the juices and to crisp up the crust. The tonic soup chicken-in-tripe is a deboned free-range bird slow-cooked for seven hours inside pork tripe with various herbs and condiments.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=25.1182160,121.5362300&language=en-US",Golden Formosa,1,https://guide.michelin.com/en/taipei-region/taipei/restaurant/golden-formosa,650,22,22,0.034,25.118216,121.53623,800,27,500,17
"418 Kwun Tong Road, Kwun Tong, Hong Kong",0-100 USD,50,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Hong Kong,Cantonese,HKD,"The décor is similar to other branches and the atmosphere is just as frantic, even though it is partitioned into different seating areas. The menu is also the same – Cantonese fare reliably cooked with fresh ingredients. On top of the main menu, specials change daily and feature prime ingredients such as king crab and giant lobster served in smaller portions for smaller parties.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.3126720,114.2248200&language=en-US",Lei Garden (Kwun Tong),1,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/lei-garden-kwun-tong,475,62,62,0.13,22.312672,114.22482,800,104,150,20
"Ulica Popa Dukljanina 1, Zagreb, 10000, Croatia",0-100 USD,75,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Croatia,Modern cuisine,HRK,"A restaurant on the crest of a wave, with subtle lighting and fashionable, internationally inspired furniture and cuisine served up by owner-chef Goran Kočiš, which is as striking and impressive as the decor. Kočiš skilfully uses local ingredients to showcase his contemporary approach, creating delicious, modern and imaginative dishes accompanied by a selection of Croatian, French and Italian wines carefully selected by his business partner and sommelier, Ivan Jug. Excellent service, which makes a return visit extremely appealing!","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=45.8109980,15.9880697&language=en-US",Noel,1,https://guide.michelin.com/en/zagreb-region/zagreb/restaurant/noel,505,76,76,0.15,45.810998,15.9880697,770,116,240,36
"54-62 Lockhart Road, Wan Chai, Hong Kong",0-100 USD,50,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Hong Kong,Shanghainese,HKD,"Authentic Shanghainese specialities served in a room where you’ll hear plenty of Shanghainese speakers really will make you think you’re in Shanghai. You shouldn’t miss the stir-fried shrimps, braised meatballs with vegetables and braised pig knuckle. The braised abalone with pork belly is worth pre-ordering. The renovation in 2018 gave the restaurant a look of understated elegance; the booths are the prized seats.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.2781199,114.1707918&language=en-US",Liu Yuan Pavilion,1,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/liu-yuan-pavilion,475,62,62,0.13,22.2781199,114.1707918,750,98,200,26
"7 rue d'Aguesseau, Paris, 75008, France",400+ USD,450,Very comfortable restaurant; one of our most delightful places.,"Two MICHELIN Stars: Excellent cooking, worth a detour!",France,Modern cuisine,EUR,"Jean - François Piège has found the perfect setting to showcase the great laboratory kitchen he had been dreaming of for so long. The lucky few to get a seat (25 maximum) can sample delicate, light dishes whose emotion can be both tasted and experienced. The quintessence of talent!","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=48.8701858,2.3193648&language=en-US",Le Grand Restaurant - Jean-François Piège,2,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-grand-restaurant-jean-francois-piege,411,460,460,1.12,48.8701858,2.3193648,706,791,116,130
"3 Canton Road, Tsim Sha Tsui, Hong Kong",0-100 USD,50,Very comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Hong Kong,Shanghainese,HKD,"Drawing not only on Shanghai but also on the neighbouring provinces of Jiangsu and Zhejiang, the cooking here is subtle and expertly balanced. Specialities include sautéed shredded Mandarin fish, baked stuffed crab shell and braised beef ribs with brown sauce. The contemporary décor recalls 1930s Shanghai in its use of dark woods, subdued lighting and semi-private alcoves. This is a busy, sophisticated operation.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.2951430,114.1682360&language=en-US",Yè Shanghai (Tsim Sha Tsui),1,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/ye-shanghai-tsim-sha-tsui,450,59,59,0.13,22.295143,114.168236,700,91,200,26
"Avenida da Amizade, Macau, Macau, Macao",0-100 USD,50,Very comfortable restaurant,"Two MICHELIN Stars: Excellent cooking, worth a detour!",Macao,Hunanese and sichuan,MOP,"Gold and red are the traditional festive hues for the Chinese and also the colour scheme of this opulent restaurant. Along with Sichuan classics, such as sautéed chicken with peanuts and chilli, are Hunanese favourites like steamed carp fish head with chilli. The hand-pulled noodles are also worth trying – watching the chefs pulling them in the display kitchen adds to the entertainment.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.1899600,113.5479400&language=en-US",Feng Wei Ju,2,https://guide.michelin.com/en/macau-region/macau/restaurant/feng-wei-ju,500,65,65,0.13,22.18996,113.54794,700,91,300,39
"Estrada de Baia de N. Senhora da Esperança, Taipa, Macau, Macao",0-100 USD,50,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Macao,Indian,MOP,It’s in the vast Venetian complex so you may need a map to find this contemporary Indian restaurant – just look out for the bright neon peacock. The chef is a native of Kerala but the menu covers all parts of India. Spices are ground in-house and everything from paneer to pickles is made from scratch. At lunch they offer an extensive buffet; come for dinner and you’ll experience dishes that are flamboyant in presentation and rich in flavour.,"https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.1484753,113.5598605&language=en-US",The Golden Peacock,1,https://guide.michelin.com/en/macau-region/macau/restaurant/the-golden-peacock,454,59,59,0.13,22.1484753,113.5598605,700,91,208,27
"Škopaljska Ulica 220, Novalja, 53291, Croatia",0-100 USD,75,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Croatia,Modern cuisine,HRK,"Despite its location on a long, narrow island, this hotel has no views of the sea – and this is perhaps the only thing missing at this splendid property, where the elegant ambience and beautiful surrounding Mediterranean scenery more than compensate for the lack of seascapes. Everything here combines to offer an idyllic stay – the bucolic silence perfect for a relaxing holiday, the elegant guestrooms, the unforgettable breakfast and, last but not least, the cuisine which, as soon as the weather allows, is served on the beautiful terrace surrounded by greenery. Pag island’s specialities take pride of place on the menu, from its olive oil and cheese to lamb, fish and, of course, wine.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=44.5710060,14.8975384&language=en-US",Boškinac,1,https://guide.michelin.com/en/lika-senj/novalja/restaurant/boskinac,525,79,79,0.15,44.571006,14.8975384,700,105,350,53
"Rua Barão de Capanema 549, São Paulo, 01411-011, Brazil",0-100 USD,75,Extremely comfortable restaurant; one of our most delightful places.,"Two MICHELIN Stars: Excellent cooking, worth a detour!",Brazil,Creative,BRL,"D.O.M. is Alex Atala, and Alex Atala is the best exponent of so-called new Brazilian cuisine. Bringing to the fore Tupinquim ingredients that were overlooked by or unfamiliar to other renowned chefs, such as priprioca, black rice and pupunha palm heart, his cooking surprises and stimulates the palate, offering a veritable journey through the flavours, textures and produce of Brazil. Passion and a prodigious technical skill have resulted in his innovative, creative and seasonal cuisine becoming a reference point for Brazilian cooking.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=-23.5661800,-46.6674200&language=en-US",D.O.M.,2,https://guide.michelin.com/en/sao-paulo-region/sao-paulo/restaurant/d-o-m,510,97,97,0.19,-23.56618,-46.66742,645,123,375,71
"The St. Regis Hotel, Lobby Level, 29 Tanglin Road, Singapore",200-300 USD,250,Comfortable restaurant; one of our most delightful places.,"One MICHELIN Star: High quality cooking, worth a stop!",Singapore,Sushi,SGD,"The second restaurant under the aegis of celebrated Japanese chef Shinji Kanesaka is here on the lobby level of the St. Regis hotel. The entrance is typically discreet and leads into an intimate space with seating at the hinoki cypress counter for 18. Three sets of menu are offered - for a memorable experience the omakase is the best choice. The ingredients are as fresh as can be, with fish flown in from Tokyo's Toyosu market.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=1.3058210,103.8257000&language=en-US",Shinji (Tanglin Road),1,https://guide.michelin.com/en/singapore-region/singapore/restaurant/shinji-tanglin-road,363,261,261,0.72,1.305821,103.8257,600,432,125,90
"Lovranska Draga 1, Lovran, 51415, Croatia",0-100 USD,50,Very comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Croatia,Modern cuisine,HRK,"A breathtaking location which can be enjoyed either from the shaded terrace or from the attractive guestrooms. Chef Deni Srdoč’s impressive culinary experience is more than evident in his cuisine, which showcases local produce and plays with ingredients in well-balanced recipes that are high on quality. His dishes are modern and creative in style, featuring Mediterranean influences and the occasional French twist, while the wine list perfectly complements the food on offer. Friendly, attentive service completes the picture.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=45.2775900,14.2429400&language=en-US",Draga di Lovrana,1,https://guide.michelin.com/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana,425,64,64,0.15,45.27759,14.24294,570,86,280,42
"Rua Fradique Coutinho 1248, São Paulo, 05416-001, Brazil",0-100 USD,50,Very comfortable restaurant,"Two MICHELIN Stars: Excellent cooking, worth a detour!",Brazil,Creative,BRL,"Local ingredients sourced from small producers, a continual quest for culinary discovery, and an impressive balance between flavours, aromas and textures - these are the hallmarks of Ivan Ralston. This young, talented chef showcases some of the city's most interesting cooking, which is born from a highly thoughtful approach and great levels of technical skill, but also the desire for each dish to tell a different story. This is a must for any serious food-lover!","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=-23.5565300,-46.6908300&language=en-US",Tuju,2,https://guide.michelin.com/en/sao-paulo-region/sao-paulo/restaurant/tuju,380,72,72,0.19,-23.55653,-46.69083,550,105,210,40
"ul. Bielanska 12, Warszawa, 00 085, Poland",100-200 USD,100,Very comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Poland,Modern cuisine,PLN,"As with the buildings between which it is housed, this formal restaurant connects tradition with modernity. Of the 3 set menus, most opt for the 7 course dinner to best experience cooking that is innovative, creative and at times theatrical, but also underpinned by classic Polish flavours.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=52.2445830,21.0058860&language=en-US",Senses,1,https://guide.michelin.com/en/masovia/warszawa/restaurant/senses,435,109,109,0.25,52.244583,21.005886,550,138,320,80
"Rua Deputado Laércio Corte 1501, São Paulo, 05706-290, Brazil",0-100 USD,50,Extremely comfortable restaurant; one of our most delightful places.,"One MICHELIN Star: High quality cooking, worth a stop!",Brazil,Modern,BRL,"It's impossible to talk about this restaurant - which has a separate personality from the Palácio Tangará hotel in which it is housed - without making reference to its owner, the French chef Jean-Georges Vongerichten, whose culinary empire now includes over 30 restaurants worldwide. The presentation of his cuisine, with its contemporary nuances and sophisticated techniques, continues to surprise and amaze. The superb chef's table, seating up to 16 guests, is a highlight.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=-23.6340050,-46.7242800&language=en-US",Tangará Jean-Georges,1,https://guide.michelin.com/en/sao-paulo-region/sao-paulo/restaurant/tangara-jean-georges,354,67,67,0.19,-23.634005,-46.72428,520,99,187,36
"25 Yik Yam Street, Happy Valley, Hong Kong",0-100 USD,25,Simple restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Hong Kong,Cantonese,HKD,"A household name since 2001, this restaurant wins the hearts of many with its traditional and homely Cantonese cooking. Try the baked fish tripe in a claypot or stir-fried glutinous rice. Unlike places that serve snake soup in autumn and winter only, here it’s available all year round. Fried fish head in claypot with scallion and ginger uses the lower jaws of bighead carp, available in a limited quantity daily. Reservations are recommended.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.2692100,114.1845200&language=en-US",Pang's Kitchen,1,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/pang-s-kitchen,375,49,49,0.13,22.26921,114.18452,500,65,250,33
"49 See Cheung Street, Sai Kung, Hong Kong",0-100 USD,25,Simple restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Hong Kong,Cantonese,HKD,"It may not have the large displays of seafood that its promenade rivals boast but this restaurant stands out because of its cooking. Wonderfully fresh seafood is prepared using traditional home recipes that let the quality of the ingredients speak for themselves. Must-try dishes include minced fish in pumpkin soup, mantis shrimp with chilli and garlic and their steamed fish with sea salt. Traditional Cantonese dishes are also done well, like deep-fried tofu.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.3798580,114.2718800&language=en-US",Loaf On,1,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/loaf-on,350,46,46,0.13,22.379858,114.27188,500,65,200,26
"251A-301 Avenida Comercial de Macau, Macau, Macau, Macao",0-100 USD,25,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Macao,Cantonese,MOP,"Its discreet location in a commercial building hasn't stopped the regulars coming. Signatures include crispy young pigeon, and baked chicken with Shaoxing wine; the homemade dim sum also comes highly recommended. The cleverly constructed dessert of ‘hard-boiled egg in red date tea’ isn’t quite what it seems and is an ideal choice for the health conscious. Being sufficiently removed from the casinos means the atmosphere is comparatively sedate.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.1901780,113.5402800&language=en-US",King,1,https://guide.michelin.com/en/macau-region/macau/restaurant/king380226,325,42,42,0.13,22.190178,113.54028,500,65,150,20
"300-306 Lockhart Road, Wan Chai, Hong Kong",0-100 USD,25,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Hong Kong,Zhejiang,HKD,"At what must be one of the easiest restaurants to find – just look for the huge Zhejiang landscape on the outside of the building – you’ll find authentic Zhejiang and Shanghainese specialities made from top quality ingredients, such as smoked fish, shrimps with seaweed, and steamed shad fish. Run by a Zhejiang Fraternity Association, the dining room is spread over two floors and while it may not be particularly lavish, it is comfortable. Vegetarian menu is available.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=22.2787000,114.1776300&language=en-US",Zhejiang Heen,1,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/zhejiang-heen,350,46,46,0.13,22.2787,114.17763,500,65,200,26
"Carlton Hotel, Lobby Level, 76 Bras Basah Road, Singapore",200-300 USD,200,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Singapore,Sushi,SGD,"Shinji Kanesaka's first outpost outside Japan boasts a hinoki counter where you can watch the chefs meticulously prepare traditional Edomae-style sushi of the best quality possible. While uni don is a popular item, tuna remains the heart and soul of this sushiya. Kanesaka-san makes the visit to the fish market every morning himself for all his stores. To make the most of the experience, go for the omakase menu. Reservations highly recommended.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=1.2959028,103.8539000&language=en-US",Shinji (Bras Basah Road),1,https://guide.michelin.com/en/singapore-region/singapore/restaurant/shinji-bras-basah-road,288,207,207,0.72,1.2959028,103.8539,500,360,75,54
